i,Step #,Left Speed,Right Speed,Collision,#Stps to red,#Red found,#Red lost,#Red captured,#Red uncaptured,#Stps to green,#Green found,#Green lost,Mean reward
51,104448,55.345581567962654,58.22233181388583,19,178.205625,7,6,4,3,0,1,1,-3.3570335792328256
51,104448,54.400615371874906,56.02933295553003,24,137.43999999999997,10,9,3,2,201,2,1,-2.7659975959703567
51,104448,59.4112655921886,64.4099195049778,36,163.14499999999998,2,1,3,2,219,1,1,-3.392040996856763
52,106496,70.6022422760725,85.50784270444962,39,61.93249999999999,2,1,3,2,146,1,0,-2.206847925870509
52,106496,45.485898783954326,59.82021352101583,92,161,4,3,1,0,0,0,0,-6.090280943277332
52,106496,68.29723645602503,85.01804576766106,46,67.1,2,1,2,1,155,1,0,-2.699204869962905
52,106496,57.89802968050494,61.09453410361753,31,93,2,1,1,0,165,1,0,-2.935234819002913
52,106496,49.97488052717277,42.02603787935081,23,128.54999999999998,6,5,2,1,238,1,0,-3.1588434553940936
53,108544,61.41477733850479,65.7816844334205,2,89.54249999999999,2,1,3,2,150,1,0,-1.0375669255105444
53,108544,74.70695981473634,84.87664084467623,7,52.33478812499998,1,0,6,5,99,1,0,-0.1226537955452055
53,108544,96.28084683790803,93.98113894858398,0,,1,0,0,0,0,0,0,-5.631164855271403
