i,Step #,Left Speed,Right Speed,Collision,#Stps to red,#Red found,#Red lost,#Red captured,#Red uncaptured,#Stps to green,#Green found,#Green lost,Mean reward
45,92160,70.40361199399521,90.80459770114942,0,52.1,1,0,2,1,87,1,0,0.5470352445475859
45,92160,70.0456744302874,91.04932818723762,0,58.14999999999999,1,0,2,1,92,1,0,0.2986597052550827
46,94208,64.87697469766694,91.5687680846513,13,54.29499999999999,1,0,3,2,99,1,0,-0.4247466844191602
46,94208,68.18109540624565,90.13728177949284,0,55.1,1,0,2,1,89,1,0,0.46673723521302984
46,94208,69.48164316785076,90.93129323876423,3,55.4925,1,0,3,2,92,1,0,0.07918245067774428
46,94208,69.14016303263213,90.64937491165965,5,54.58749999999999,1,0,3,2,95,1,0,-0.02127011779412316
46,94208,69.33835019054038,90.34855064381374,0,53.294999999999995,1,0,3,2,89,1,0,0.4310145669786278
47,96256,68.74881244518541,89.8130843246525,0,56.15,1,0,2,1,88,1,0,0.55211264533374
47,96256,70.64204514436014,89.49837851655353,0,57.3925,1,0,3,2,91,1,0,0.4362455472086964
47,96256,67.92911312583348,87.90083393130614,0,58.442499999999995,1,0,3,2,92,1,0,0.27098881998803037
47,96256,68.52895830842581,90.20686874335462,0,55.295,1,0,3,2,88,1,0,0.46830832929592253
47,96256,66.34040957132538,90.00225473236252,0,59,1,0,1,0,91,1,0,0.44017464135673084
48,98304,69.56025538002622,90.46562430502354,0,52.1,1,0,2,1,87,1,0,0.5411162567710015
48,98304,68.47596302382894,91.20879120879121,0,56,1,0,1,0,91,1,0,0.5931800180428616
48,98304,71.78609813253085,91.11111111111111,0,55.295,1,0,3,2,90,1,0,0.3248581597830527
48,98304,69.67610780149698,91.11111111111111,0,56.099999999999994,1,0,2,1,90,1,0,0.5298433632439593
48,98304,68.1568655907438,90.67866125803316,0,53.14999999999999,1,0,2,1,89,1,0,0.5685884186364337
49,100352,65.5055005635534,91.25491544908407,10,55.1,1,0,2,1,98,1,0,-0.20478696766488377
49,100352,65.35943121716534,91.75257731958763,7,54.099999999999994,1,0,2,1,97,1,0,-0.052179660743581616
49,100352,64.97608384059876,91.21970531252242,7,57.1,1,0,2,1,97,1,0,-0.09057884310354589
49,100352,69.06596997545824,90.53676111830606,1,55.15,1,0,2,1,90,2,1,0.3275926120730288
49,100352,68.10553791001439,90.32167328352278,0,55.1,1,0,2,1,88,1,0,0.4690304544179132
50,102400,69.93551820516586,91.06022205617693,0,58,1,0,1,0,90,1,0,0.6132151767667466
50,102400,70.03952361304651,90.9090909090909,0,57.15,1,0,2,1,88,1,0,0.597266031219879
50,102400,68.8362859769,91.11111111111111,0,56,1,0,1,0,90,1,0,0.6869267819981068
50,102400,69.89209436528061,91.19645927263343,0,61,1,0,1,0,92,1,0,0.5273196376147739
50,102400,70.77320837839083,90.9090909090909,0,55,1,0,1,0,88,1,0,0.7019734010171137
51,104448,67.96286126619644,90.35271560208182,0,57.15,1,0,2,1,89,1,0,0.46336500101422196
51,104448,67.61527321004606,90.72875734213945,0,59,1,0,1,0,91,1,0,0.4897395692828979
51,104448,66.37885330001946,90.89832130981529,0,59,1,0,1,0,92,1,0,0.48827288857634465
51,104448,68.57184256826129,88.63905412810189,0,49,1,0,1,0,77,1,0,0.8585136062629258
51,104448,69.97282058000565,88.94091021073491,0,48,1,0,1,0,76,1,0,0.9292020695231221
52,106496,70.7331212258887,90.36697539789924,0,56.294999999999995,1,0,3,2,87,1,0,0.7563946145524411
52,106496,65.22354030961631,91.39784946236558,0,59,1,0,1,0,93,1,0,0.6124423187301873
52,106496,69.42251179781225,91.07191761334737,0,60.1,1,0,2,1,90,1,0,0.5099662316624664
52,106496,67.028616720831,91.1663756265745,0,59,1,0,1,0,91,1,0,0.6371089853260543
